City,Latitude,Longitude,Hotel Name
luderitz,-26.65,15.16,Kairos Cottage
imbituba,-28.24,-48.67,Praia Hotel Imbituba
coquimbo,-29.95,-71.34,Apart Hotel Cabaña
okhotsk,59.38,143.3,
taksimo,56.34,114.88,"Gostinitsa ""Viktoriya"""
ambilobe,-13.2,49.05,Hotel National
puerto baquerizo moreno,-0.9,-89.6,Chatham
sao jose de ribamar,-2.56,-44.05,Mediterrânea Hotel e Restaurante
ust-kulom,61.69,53.69,
raichur,16.2,77.37,Hotel Santoshi Sarovar
denpasar,-8.65,115.22,Quest Hotel San Denpasar
mbanza-ngungu,-5.25,14.87,Hotel Les Cascades
duku,11.24,4.91,
bintulu,3.17,113.03,GoldenBay Hotel Bintulu
hofn,64.25,-15.21,Milk Factory
cleburne,32.35,-97.39,Hampton Inn & Suites Cleburne
mehnagar,25.88,83.12,
cabedelo,-6.98,-34.83,Hotel Almagre
byron bay,-28.65,153.62,Bayhaven Lodge
skhisma,35.27,25.72,"Blue Palace, a Luxury Collection Resort and Spa, Crete"
horta,38.53,-28.63,Faial Resort Hotel
lagos,6.58,3.75,
tondi,9.73,79.02,BALAJI HOTEL
romny,50.75,33.47,ОРХІДЕЯ
salaga,8.55,-0.52,Maridon Lodge
roma,43.21,-75.46,Wingate By Wyndham Rome
belle glade,26.68,-80.67,Horizon Inn & Suites
drexel heights,32.14,-111.03,
sikeston,36.88,-89.59,Holiday Inn Express & Suites Sikeston
merrill,45.18,-89.68,"AmericInn by Wyndham, Merrill"
kaeo,-35.1,173.78,
mount isa,-20.73,139.5,Abacus Motel
goundam,16.41,-3.67,
zhanakorgan,43.91,67.25,Sanatoriy Toktamys
saint-gaudens,43.08,0.67,Hôtel Restaurant La Casera
howard springs,-12.5,131.05,BIG4 Howard Springs Holiday Park
port lincoln,-34.73,135.87,Port Lincoln Hotel
oituz,46.2,26.62,Casa Salcia Oituz
la rioja,42.25,-2.5,Molino del Corregidor
conceicao do araguaia,-8.26,-49.26,Tarumã Tropical Hotel
college,64.86,-147.8,Best Western Plus Chena River Lodge
sampit,-2.53,112.95,Grand Hotel Sampit
hervey bay,-25.3,152.85,Oaks Hervey Bay Resort and Spa
saint-pierre,-21.34,55.48,Le Battant Des Lames
chabahar,25.29,60.64,Lipar Hotel
nemuro,43.32,145.57,Hotel Nemuro Kaiyoutei
puerto colombia,10.99,-74.95,Hotel Pradomar
uyuni,-20.46,-66.83,SALCAY HOTEL
nsanje,-16.92,35.26,Shumba Lodge
deputatskiy,69.3,139.9,
rocha,-34.48,-54.33,Casa Rodo 53
bathsheba,13.22,-59.52,Rest Haven Beach Cottages
loughton,52.03,-0.79,DoubleTree by Hilton Hotel Milton Keynes
karasuk,53.74,78.04,Mini-Hotel Persona
mamallapuram,12.63,80.17,"Welcomhotel Kences Palm Beach, Mahabalipuram"
orotukan,62.27,151.7,
port hedland,-20.32,118.57,ibis Styles Port Hedland
tessalit,20.2,1.01,
ancud,-41.87,-73.82,Panamericana Hotel Ancud
dunedin,-45.87,170.5,Distinction Dunedin Hotel
shemordan,56.19,50.4,"Gostinitsa ""Chulpan"""
